Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_JAELTO010000001.1	19108	19905		plus	xanthine dehydrogenase family protein subunit M			protein-coding			WP_198968619.1	xanthine dehydrogenase family protein subunit M	265	JHD63_RS00085
NZ_JAELTO010000001.1	19925	20824		plus	MoxR family ATPase			protein-coding			WP_198968620.1	MoxR family ATPase	299	JHD63_RS00090
NZ_JAELTO010000001.1	20832	22019		plus	VWA domain-containing protein			protein-coding			WP_198968621.1	VWA domain-containing protein	395	JHD63_RS00095
NZ_JAELTO010000001.1	22041	22478		plus	uncharacterized gene			pseudogene						JHD63_RS00100
NZ_JAELTO010000001.1	22525	23520		plus	XdhC family protein			protein-coding			WP_198968712.1	XdhC family protein	331	JHD63_RS00105
NZ_JAELTO010000001.1	23632	24486		minus	hypothetical protein			protein-coding			WP_198968623.1	hypothetical protein	284	JHD63_RS00110
NZ_JAELTO010000001.1	24970	25497		minus	6,7-dimethyl-8-ribityllumazine synthase			protein-coding			WP_198968624.1	6,7-dimethyl-8-ribityllumazine synthase	175	JHD63_RS00115
NZ_JAELTO010000001.1	25843	26307		plus	EVE domain-containing protein			protein-coding			WP_198968625.1	EVE domain-containing protein	154	JHD63_RS00120
NZ_JAELTO010000001.1	26333	28042		plus	thiamine pyrophosphate-binding protein			protein-coding			WP_198968626.1	thiamine pyrophosphate-binding protein	569	JHD63_RS00125
NZ_JAELTO010000001.1	28122	28442		minus	non-heme iron oxygenase ferredoxin subunit			protein-coding			WP_198968627.1	non-heme iron oxygenase ferredoxin subunit	106	JHD63_RS00130
NZ_JAELTO010000001.1	28461	28709		minus	tripartite tricarboxylate transporter substrate-binding protein			protein-coding			WP_233167453.1	tripartite tricarboxylate transporter substrate-binding protein	82	JHD63_RS23830
NZ_JAELTO010000001.1	28648	29031		minus	tripartite tricarboxylate transporter substrate-binding protein			protein-coding			WP_233167440.1	tripartite tricarboxylate transporter substrate-binding protein	127	JHD63_RS00135
NZ_JAELTO010000001.1	29031	29396		minus	chorismate mutase			protein-coding			WP_198968628.1	chorismate mutase	121	JHD63_RS00140
NZ_JAELTO010000001.1	29411	29893		minus	aromatic-ring-hydroxylating dioxygenase subunit beta			protein-coding			WP_198968629.1	aromatic-ring-hydroxylating dioxygenase subunit beta	160	JHD63_RS00145
NZ_JAELTO010000001.1	29890	31149		minus	aromatic ring-hydroxylating dioxygenase subunit alpha			protein-coding			WP_198968630.1	aromatic ring-hydroxylating dioxygenase subunit alpha	419	JHD63_RS00150
NZ_JAELTO010000001.1	31260	32168		plus	LysR family transcriptional regulator			protein-coding			WP_198968631.1	LysR family transcriptional regulator	302	JHD63_RS00155
NZ_JAELTO010000001.1	32372	32668		minus	chaperone modulator CbpM			protein-coding			WP_198968632.1	chaperone modulator CbpM	98	JHD63_RS00160
NZ_JAELTO010000001.1	32665	33642		minus	DnaJ C-terminal domain-containing protein			protein-coding			WP_198968633.1	DnaJ C-terminal domain-containing protein	325	JHD63_RS00165
NZ_JAELTO010000001.1	33835	35046		minus	threonine ammonia-lyase			protein-coding			WP_198968634.1	threonine ammonia-lyase	403	JHD63_RS00170
NZ_JAELTO010000001.1	35123	36046		minus	LysR family transcriptional regulator			protein-coding			WP_198968635.1	LysR family transcriptional regulator	307	JHD63_RS00175
NZ_JAELTO010000001.1	36151	37140		plus	aldo/keto reductase			protein-coding			WP_198968636.1	aldo/keto reductase	329	JHD63_RS00180
NZ_JAELTO010000001.1	37223	38074		plus	aldo/keto reductase			protein-coding			WP_304952631.1	aldo/keto reductase	283	JHD63_RS00185
NZ_JAELTO010000001.1	38165	38641		minus	bacterioferritin	bfr		protein-coding			WP_198968638.1	bacterioferritin	158	JHD63_RS00190
NZ_JAELTO010000001.1	38950	39960		minus	TRAP transporter substrate-binding protein			protein-coding			WP_198968639.1	TRAP transporter substrate-binding protein	336	JHD63_RS00195
NZ_JAELTO010000001.1	39939	40928		minus	amidohydrolase family protein			protein-coding			WP_198968640.1	amidohydrolase family protein	329	JHD63_RS00200
NZ_JAELTO010000001.1	40925	41938		minus	TRAP transporter substrate-binding protein			protein-coding			WP_198968641.1	TRAP transporter substrate-binding protein	337	JHD63_RS00205
NZ_JAELTO010000001.1	41981	42895		minus	amidohydrolase family protein			protein-coding			WP_233167442.1	amidohydrolase family protein	304	JHD63_RS00210
NZ_JAELTO010000001.1	43073	44350		minus	TRAP transporter large permease subunit			protein-coding			WP_198968643.1	TRAP transporter large permease subunit	425	JHD63_RS00215
NZ_JAELTO010000001.1	44347	44895		minus	TRAP transporter small permease			protein-coding			WP_198968644.1	TRAP transporter small permease	182	JHD63_RS00220
NZ_JAELTO010000001.1	45118	46596		minus	glycine betaine ABC transporter substrate-binding protein			protein-coding			WP_233167444.1	glycine betaine ABC transporter substrate-binding protein	492	JHD63_RS00225
NZ_JAELTO010000001.1	46631	47185		minus	DedA family protein			protein-coding			WP_198968645.1	DedA family protein	184	JHD63_RS00230
NZ_JAELTO010000001.1	47182	48552		minus	phospholipase D-like domain-containing protein			protein-coding			WP_198968646.1	phospholipase D-like domain-containing protein	456	JHD63_RS00235
NZ_JAELTO010000001.1	48735	50258		minus	GGDEF domain-containing protein			protein-coding			WP_198968647.1	GGDEF domain-containing protein	507	JHD63_RS00240
NZ_JAELTO010000001.1	50563	51681		minus	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase			protein-coding			WP_198968648.1	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	372	JHD63_RS00245
NZ_JAELTO010000001.1	51987	53081		plus	aromatic ring-hydroxylating dioxygenase subunit alpha			protein-coding			WP_198968649.1	aromatic ring-hydroxylating dioxygenase subunit alpha	364	JHD63_RS00250
NZ_JAELTO010000001.1	53137	53829		plus	GntR family transcriptional regulator			protein-coding			WP_233167454.1	GntR family transcriptional regulator	230	JHD63_RS00255
NZ_JAELTO010000001.1	53861	54340		plus	iron-sulfur cluster-binding domain-containing protein			protein-coding			WP_198968651.1	iron-sulfur cluster-binding domain-containing protein	159	JHD63_RS00260
NZ_JAELTO010000001.1	54435	55613		plus	ABC transporter substrate-binding protein			protein-coding			WP_198968652.1	ABC transporter substrate-binding protein	392	JHD63_RS00265
NZ_JAELTO010000001.1	55880	56752		plus	branched-chain amino acid ABC transporter permease			protein-coding			WP_198968653.1	branched-chain amino acid ABC transporter permease	290	JHD63_RS00270
NZ_JAELTO010000001.1	56752	57732		plus	branched-chain amino acid ABC transporter permease			protein-coding			WP_198968654.1	branched-chain amino acid ABC transporter permease	326	JHD63_RS00275
NZ_JAELTO010000001.1	57729	58514		plus	ABC transporter ATP-binding protein			protein-coding			WP_198968655.1	ABC transporter ATP-binding protein	261	JHD63_RS00280
NZ_JAELTO010000001.1	58507	59211		plus	ABC transporter ATP-binding protein			protein-coding			WP_198968656.1	ABC transporter ATP-binding protein	234	JHD63_RS00285
NZ_JAELTO010000001.1	59246	59551		plus	c-type cytochrome			protein-coding			WP_233167456.1	c-type cytochrome	101	JHD63_RS00290
NZ_JAELTO010000001.1	59842	60057		plus	SlyX family protein			protein-coding			WP_198968658.1	SlyX family protein	71	JHD63_RS00295
NZ_JAELTO010000001.1	60139	61359		plus	CaiB/BaiF CoA-transferase family protein			protein-coding			WP_198968659.1	CaiB/BaiF CoA-transferase family protein	406	JHD63_RS00300
NZ_JAELTO010000001.1	61788	63485		plus	thiol reductant ABC exporter subunit CydD	cydD		protein-coding			WP_198968660.1	thiol reductant ABC exporter subunit CydD	565	JHD63_RS00305
NZ_JAELTO010000001.1	63482	65191		plus	ATP-binding cassette domain-containing protein			protein-coding			WP_198968661.1	ATP-binding cassette domain-containing protein	569	JHD63_RS00310
NZ_JAELTO010000001.1	65234	66853		plus	cytochrome ubiquinol oxidase subunit I			protein-coding			WP_198968662.1	cytochrome ubiquinol oxidase subunit I	539	JHD63_RS00315
NZ_JAELTO010000001.1	66850	68004		plus	cytochrome d ubiquinol oxidase subunit II	cydB		protein-coding			WP_198968663.1	cytochrome d ubiquinol oxidase subunit II	384	JHD63_RS00320
NZ_JAELTO010000001.1	68023	68172		plus	cytochrome bd-I oxidase subunit CydX	cydX		protein-coding			WP_081267010.1	cytochrome bd-I oxidase subunit CydX	49	JHD63_RS00325
NZ_JAELTO010000001.1	68227	68811		minus	GbsR/MarR family transcriptional regulator			protein-coding			WP_198968664.1	GbsR/MarR family transcriptional regulator	194	JHD63_RS00330
NZ_JAELTO010000001.1	68885	69829		minus	magnesium transporter CorA family protein			protein-coding			WP_198968665.1	magnesium transporter CorA family protein	314	JHD63_RS00335
NZ_JAELTO010000001.1	69826	70950		minus	peptidase C39 family protein			protein-coding			WP_198968666.1	peptidase C39 family protein	374	JHD63_RS00340
NZ_JAELTO010000001.1	70967	72598		minus	RimK family protein			protein-coding			WP_233167458.1	RimK family protein	543	JHD63_RS00345
NZ_JAELTO010000001.1	72969	73385		plus	GNAT family N-acetyltransferase			protein-coding			WP_198968668.1	GNAT family N-acetyltransferase	138	JHD63_RS00350
NZ_JAELTO010000001.1	73486	74427		plus	ribosome biogenesis GTPase YlqF	ylqF		protein-coding			WP_198968669.1	ribosome biogenesis GTPase YlqF	313	JHD63_RS00355
NZ_JAELTO010000001.1	74432	75754		plus	chloride channel protein			protein-coding			WP_198968670.1	chloride channel protein	440	JHD63_RS00360
NZ_JAELTO010000001.1	76323	76691		minus	response regulator			protein-coding			WP_198968671.1	response regulator	122	JHD63_RS00365
NZ_JAELTO010000001.1	76736	77155		minus	RNA-binding S4 domain-containing protein			protein-coding			WP_198968714.1	RNA-binding S4 domain-containing protein	139	JHD63_RS00370
NZ_JAELTO010000001.1	77193	78662		minus	sensor histidine kinase			protein-coding			WP_198968672.1	sensor histidine kinase	489	JHD63_RS00375
NZ_JAELTO010000001.1	78659	79348		minus	response regulator			protein-coding			WP_198968673.1	response regulator	229	JHD63_RS00380
NZ_JAELTO010000001.1	79393	80235		minus	GntR family transcriptional regulator			protein-coding			WP_198968674.1	GntR family transcriptional regulator	280	JHD63_RS00385
NZ_JAELTO010000001.1	80298	81065		plus	SDR family oxidoreductase			protein-coding			WP_198968675.1	SDR family oxidoreductase	255	JHD63_RS00390
NZ_JAELTO010000001.1	81067	81828		plus	SDR family oxidoreductase			protein-coding			WP_198968676.1	SDR family oxidoreductase	253	JHD63_RS00395
NZ_JAELTO010000001.1	81831	82733		plus	3-keto-5-aminohexanoate cleavage protein			protein-coding			WP_198968677.1	3-keto-5-aminohexanoate cleavage protein	300	JHD63_RS00400
NZ_JAELTO010000001.1	82742	84817		plus	hydantoinase/oxoprolinase family protein			protein-coding			WP_198968678.1	hydantoinase/oxoprolinase family protein	691	JHD63_RS00405
NZ_JAELTO010000001.1	84860	86680		plus	hydantoinase B/oxoprolinase family protein			protein-coding			WP_233167446.1	hydantoinase B/oxoprolinase family protein	606	JHD63_RS00410
NZ_JAELTO010000001.1	86752	87747		plus	porin			protein-coding			WP_255519240.1	porin	331	JHD63_RS00415
NZ_JAELTO010000001.1	87776	88756		plus	tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_198968681.1	tripartite tricarboxylate transporter substrate binding protein	326	JHD63_RS00420
NZ_JAELTO010000001.1	88764	89900		plus	serine hydrolase domain-containing protein			protein-coding			WP_255519239.1	serine hydrolase domain-containing protein	378	JHD63_RS00425
NZ_JAELTO010000001.1	90075	91040		plus	tripartite tricarboxylate transporter substrate-binding protein			protein-coding			WP_198968683.1	tripartite tricarboxylate transporter substrate-binding protein	321	JHD63_RS00430
NZ_JAELTO010000001.1	91245	91796		plus	tripartite tricarboxylate transporter TctB family protein			protein-coding			WP_198968684.1	tripartite tricarboxylate transporter TctB family protein	183	JHD63_RS00435
NZ_JAELTO010000001.1	91830	93341		plus	tripartite tricarboxylate transporter permease			protein-coding			WP_198968685.1	tripartite tricarboxylate transporter permease	503	JHD63_RS00440
NZ_JAELTO010000001.1	94146	94673		plus	DUF4124 domain-containing protein			protein-coding			WP_198968686.1	DUF4124 domain-containing protein	175	JHD63_RS00445
NZ_JAELTO010000001.1	94837	95469		plus	ATP-binding cassette domain-containing protein			protein-coding			WP_198968687.1	ATP-binding cassette domain-containing protein	210	JHD63_RS00450
NZ_JAELTO010000001.1	95651	96766		minus	AI-2E family transporter			protein-coding			WP_198968688.1	AI-2E family transporter	371	JHD63_RS00455
NZ_JAELTO010000001.1	96923	99352		plus	DUF3772 domain-containing protein			protein-coding			WP_198968689.1	DUF3772 domain-containing protein	809	JHD63_RS00460
NZ_JAELTO010000001.1	99408	99767		plus	HPF/RaiA family ribosome-associated protein			protein-coding			WP_198968690.1	HPF/RaiA family ribosome-associated protein	119	JHD63_RS00465
NZ_JAELTO010000001.1	99830	101320		plus	sigma 54-interacting transcriptional regulator			protein-coding			WP_198968691.1	sigma 54-interacting transcriptional regulator	496	JHD63_RS00470
NZ_JAELTO010000001.1	101467	102663		plus	substrate-binding domain-containing protein			protein-coding			WP_198968692.1	substrate-binding domain-containing protein	398	JHD63_RS00475
NZ_JAELTO010000001.1	102749	103513		plus	ABC transporter ATP-binding protein			protein-coding			WP_198968693.1	ABC transporter ATP-binding protein	254	JHD63_RS00480
NZ_JAELTO010000001.1	103510	104238		plus	ABC transporter ATP-binding protein			protein-coding			WP_198968694.1	ABC transporter ATP-binding protein	242	JHD63_RS00485
NZ_JAELTO010000001.1	104328	105311		plus	branched-chain amino acid ABC transporter permease			protein-coding			WP_198968695.1	branched-chain amino acid ABC transporter permease	327	JHD63_RS00490
NZ_JAELTO010000001.1	105455	106525		plus	branched-chain amino acid ABC transporter permease			protein-coding			WP_198968696.1	branched-chain amino acid ABC transporter permease	356	JHD63_RS00495
NZ_JAELTO010000001.1	106604	107428		plus	alpha/beta hydrolase			protein-coding			WP_233167464.1	alpha/beta hydrolase	274	JHD63_RS00500
NZ_JAELTO010000001.1	107586	108644		minus	GGDEF domain-containing protein			protein-coding			WP_233167448.1	GGDEF domain-containing protein	352	JHD63_RS00505
NZ_JAELTO010000001.1	108692	109786		minus	ferrochelatase	hemH		protein-coding			WP_198968698.1	ferrochelatase	364	JHD63_RS00510
NZ_JAELTO010000001.1	109860	110570		plus	HAD-IA family hydrolase			protein-coding			WP_198968699.1	HAD-IA family hydrolase	236	JHD63_RS00515
NZ_JAELTO010000001.1	110584	111036		minus	azurin	azu		protein-coding			WP_198968700.1	azurin	150	JHD63_RS00520
NZ_JAELTO010000001.1	111260	111865		plus	OmpW family protein			protein-coding			WP_233167465.1	OmpW family protein	201	JHD63_RS00525
NZ_JAELTO010000001.1	111925	114243		plus	cation-translocating P-type ATPase			protein-coding			WP_198968702.1	cation-translocating P-type ATPase	772	JHD63_RS00530
NZ_JAELTO010000001.1	114243	114380		plus	cbb3-type cytochrome oxidase assembly protein CcoS	ccoS		protein-coding			WP_198968703.1	cbb3-type cytochrome oxidase assembly protein CcoS	45	JHD63_RS00535
NZ_JAELTO010000001.1	114450	115889		plus	cytochrome-c oxidase, cbb3-type subunit I	ccoN		protein-coding			WP_198968704.1	cytochrome-c oxidase, cbb3-type subunit I	479	JHD63_RS00540
NZ_JAELTO010000001.1	115899	116525		plus	cytochrome-c oxidase, cbb3-type subunit II	ccoO		protein-coding			WP_198968705.1	cytochrome-c oxidase, cbb3-type subunit II	208	JHD63_RS00545
NZ_JAELTO010000001.1	116537	116683		plus	cbb3-type cytochrome c oxidase subunit 3			protein-coding			WP_198968706.1	cbb3-type cytochrome c oxidase subunit 3	48	JHD63_RS00550
NZ_JAELTO010000001.1	116680	117606		plus	cytochrome-c oxidase, cbb3-type subunit III	ccoP		protein-coding			WP_198968707.1	cytochrome-c oxidase, cbb3-type subunit III	308	JHD63_RS00555
NZ_JAELTO010000001.1	117623	119065		plus	cytochrome c oxidase accessory protein CcoG	ccoG		protein-coding			WP_198968708.1	cytochrome c oxidase accessory protein CcoG	480	JHD63_RS00560
NZ_JAELTO010000001.1	119095	119370		plus	FixH family protein			protein-coding			WP_233167450.1	FixH family protein	91	JHD63_RS00565
NZ_JAELTO010000001.1	119375	119620		plus	hypothetical protein			protein-coding			WP_198968709.1	hypothetical protein	81	JHD63_RS00570
NZ_JAELTO010000001.1	119601	120317		minus	helix-turn-helix domain-containing protein			protein-coding			WP_198968710.1	helix-turn-helix domain-containing protein	238	JHD63_RS00575
NZ_JAELTO010000001.1	120442	121857		plus	oxygen-independent coproporphyrinogen III oxidase	hemN		protein-coding			WP_198968711.1	oxygen-independent coproporphyrinogen III oxidase	471	JHD63_RS00580
NZ_JAELTO010000002.1	1	157		minus	transposase			protein-coding			WP_198968717.1	transposase	52	JHD63_RS00585
NZ_JAELTO010000002.1	215	1396		minus	CoA transferase			protein-coding			WP_198968718.1	CoA transferase	393	JHD63_RS00590
NZ_JAELTO010000002.1	1405	2265		minus	IclR family transcriptional regulator			protein-coding			WP_198968719.1	IclR family transcriptional regulator	286	JHD63_RS00595
NZ_JAELTO010000002.1	2283	4223		minus	AMP-binding protein			protein-coding			WP_198968720.1	AMP-binding protein	646	JHD63_RS00600
NZ_JAELTO010000002.1	4238	5443		minus	acetyl-CoA C-acetyltransferase			protein-coding			WP_198968721.1	acetyl-CoA C-acetyltransferase	401	JHD63_RS00605
NZ_JAELTO010000002.1	5524	6273		minus	3-oxoacyl-ACP reductase FabG	fabG		protein-coding			WP_198968722.1	3-oxoacyl-ACP reductase FabG	249	JHD63_RS00610
NZ_JAELTO010000002.1	6297	7172		minus	MaoC/PaaZ C-terminal domain-containing protein			protein-coding			WP_198968723.1	MaoC/PaaZ C-terminal domain-containing protein	291	JHD63_RS00615
NZ_JAELTO010000002.1	7402	8550		plus	acyl-CoA dehydrogenase family protein			protein-coding			WP_198968724.1	acyl-CoA dehydrogenase family protein	382	JHD63_RS00620
NZ_JAELTO010000002.1	8568	8693		minus	hypothetical protein			protein-coding			WP_255519241.1	hypothetical protein	41	JHD63_RS24510
NZ_JAELTO010000002.1	8913	9794		minus	alpha/beta fold hydrolase			protein-coding			WP_198968725.1	alpha/beta fold hydrolase	293	JHD63_RS00625
NZ_JAELTO010000002.1	9896	10711		plus	IclR family transcriptional regulator			protein-coding			WP_198968726.1	IclR family transcriptional regulator	271	JHD63_RS00630
NZ_JAELTO010000002.1	10708	11505		plus	IclR family transcriptional regulator			protein-coding			WP_198968727.1	IclR family transcriptional regulator	265	JHD63_RS00635
NZ_JAELTO010000002.1	11539	12900		minus	MmgE/PrpD family protein			protein-coding			WP_198968821.1	MmgE/PrpD family protein	453	JHD63_RS00640
NZ_JAELTO010000002.1	12954	14141		minus	CaiB/BaiF CoA-transferase family protein			protein-coding			WP_198968728.1	CaiB/BaiF CoA-transferase family protein	395	JHD63_RS00645
NZ_JAELTO010000002.1	14138	14710		minus	DUF2889 domain-containing protein			protein-coding			WP_198968729.1	DUF2889 domain-containing protein	190	JHD63_RS00650
NZ_JAELTO010000002.1	14714	15676		minus	tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_198968730.1	tripartite tricarboxylate transporter substrate binding protein	320	JHD63_RS00655
NZ_JAELTO010000002.1	15689	16651		minus	tripartite tricarboxylate transporter substrate-binding protein			protein-coding			WP_198968731.1	tripartite tricarboxylate transporter substrate-binding protein	320	JHD63_RS00660
NZ_JAELTO010000002.1	17176	18795		plus	GMC family oxidoreductase N-terminal domain-containing protein			protein-coding			WP_198968732.1	GMC family oxidoreductase N-terminal domain-containing protein	539	JHD63_RS00665
NZ_JAELTO010000002.1	18937	20376		plus	MmgE/PrpD family protein			protein-coding			WP_198968733.1	MmgE/PrpD family protein	479	JHD63_RS00670
NZ_JAELTO010000002.1	20388	21860		plus	aldehyde dehydrogenase			protein-coding			WP_198968734.1	aldehyde dehydrogenase	490	JHD63_RS00675
NZ_JAELTO010000002.1	21878	22807		plus	LysR family transcriptional regulator			protein-coding			WP_198968735.1	LysR family transcriptional regulator	309	JHD63_RS00680
NZ_JAELTO010000002.1	22808	23149		minus	hypothetical protein			protein-coding			WP_233167466.1	hypothetical protein	113	JHD63_RS00685
NZ_JAELTO010000002.1	23182	24009		minus	SDR family oxidoreductase			protein-coding			WP_198968736.1	SDR family oxidoreductase	275	JHD63_RS00690
NZ_JAELTO010000002.1	24252	25397		plus	acyl-CoA dehydrogenase family protein			protein-coding			WP_198968737.1	acyl-CoA dehydrogenase family protein	381	JHD63_RS00695
NZ_JAELTO010000002.1	25415	25912		plus	MaoC/PaaZ C-terminal domain-containing protein			protein-coding			WP_198968738.1	MaoC/PaaZ C-terminal domain-containing protein	165	JHD63_RS00700
NZ_JAELTO010000002.1	25917	27275		plus	acyclic terpene utilization AtuA family protein			protein-coding			WP_198968739.1	acyclic terpene utilization AtuA family protein	452	JHD63_RS00705
NZ_JAELTO010000002.1	27277	27618		plus	hypothetical protein			protein-coding			WP_198968740.1	hypothetical protein	113	JHD63_RS00710
NZ_JAELTO010000002.1	27638	28816		plus	uncharacterized gene			pseudogene						JHD63_RS00715
NZ_JAELTO010000002.1	28851	29858		plus	tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_198968742.1	tripartite tricarboxylate transporter substrate binding protein	335	JHD63_RS00720
NZ_JAELTO010000002.1	29864	31078		plus	CoA transferase			protein-coding			WP_198968743.1	CoA transferase	404	JHD63_RS00725
NZ_JAELTO010000002.1	31144	32313		plus	CoA transferase			protein-coding			WP_233167467.1	CoA transferase	389	JHD63_RS00730
NZ_JAELTO010000002.1	32393	33022		plus	CoA transferase			protein-coding			WP_233167477.1	CoA transferase	209	JHD63_RS00735
NZ_JAELTO010000002.1	33041	33262		plus	hypothetical protein			protein-coding			WP_233167468.1	hypothetical protein	73	JHD63_RS23835
NZ_JAELTO010000002.1	33351	34316		plus	alpha/beta hydrolase-fold protein			protein-coding			WP_198968744.1	alpha/beta hydrolase-fold protein	321	JHD63_RS00740
NZ_JAELTO010000002.1	34364	36730		plus	LuxR C-terminal-related transcriptional regulator			protein-coding			WP_198968745.1	LuxR C-terminal-related transcriptional regulator	788	JHD63_RS00745
NZ_JAELTO010000002.1	36797	38071		plus	acetyl-CoA hydrolase/transferase C-terminal domain-containing protein			protein-coding			WP_198968746.1	acetyl-CoA hydrolase/transferase C-terminal domain-containing protein	424	JHD63_RS00750
NZ_JAELTO010000002.1	38106	39386		plus	CoA transferase			protein-coding			WP_198968747.1	CoA transferase	426	JHD63_RS00755
NZ_JAELTO010000002.1	39383	40441		plus	NAD-dependent epimerase/dehydratase family protein			protein-coding			WP_198968748.1	NAD-dependent epimerase/dehydratase family protein	352	JHD63_RS00760
NZ_JAELTO010000002.1	40586	41581		plus	tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_198968749.1	tripartite tricarboxylate transporter substrate binding protein	331	JHD63_RS00765
NZ_JAELTO010000002.1	41631	41988		minus	uncharacterized gene			pseudogene						JHD63_RS00770
NZ_JAELTO010000002.1	41996	42409		plus	CoA transferase			protein-coding			WP_198968750.1	CoA transferase	137	JHD63_RS00775
NZ_JAELTO010000002.1	42691	43671		minus	LysR family transcriptional regulator			protein-coding			WP_198968751.1	LysR family transcriptional regulator	326	JHD63_RS00780
NZ_JAELTO010000002.1	43769	44791		plus	tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_233167469.1	tripartite tricarboxylate transporter substrate binding protein	340	JHD63_RS00785
NZ_JAELTO010000002.1	44794	45720		plus	CoA ester lyase			protein-coding			WP_198968753.1	CoA ester lyase	308	JHD63_RS00790
NZ_JAELTO010000002.1	45717	46961		plus	CoA transferase			protein-coding			WP_198968754.1	CoA transferase	414	JHD63_RS00795
NZ_JAELTO010000002.1	46994	47947		plus	tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_198968755.1	tripartite tricarboxylate transporter substrate binding protein	317	JHD63_RS00800
NZ_JAELTO010000002.1	47957	49453		minus	class I adenylate-forming enzyme family protein			protein-coding			WP_198968756.1	class I adenylate-forming enzyme family protein	498	JHD63_RS00805
NZ_JAELTO010000002.1	49481	49651		minus	hypothetical protein			protein-coding			WP_198968757.1	hypothetical protein	56	JHD63_RS00810
NZ_JAELTO010000002.1	49710	51020		minus	acetyl-CoA hydrolase/transferase family protein			protein-coding			WP_198968758.1	acetyl-CoA hydrolase/transferase family protein	436	JHD63_RS00815
NZ_JAELTO010000002.1	51026	51988		minus	tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_198968759.1	tripartite tricarboxylate transporter substrate binding protein	320	JHD63_RS00820
NZ_JAELTO010000002.1	52197	52955		minus	SDR family oxidoreductase			protein-coding			WP_198968760.1	SDR family oxidoreductase	252	JHD63_RS00825
NZ_JAELTO010000002.1	52966	53685		minus	ABC transporter ATP-binding protein			protein-coding			WP_198968761.1	ABC transporter ATP-binding protein	239	JHD63_RS00830
NZ_JAELTO010000002.1	53675	54424		minus	ABC transporter ATP-binding protein			protein-coding			WP_198968762.1	ABC transporter ATP-binding protein	249	JHD63_RS00835
